Event,Zone,Region,latitude,longitude
Bushfire - Black Friday,"Wollongong , Canberra (ACT) , Mount Gambier (VIC) , Murray Bridge (VIC) , Wilsons Promontory , Mount Gambier (SA) , Launceston , Melbourne","Wollongong , Canberra (ACT) , Mount Gambier (VIC) , Murray Bridge (VIC) , Wilsons Promontory , Mount Gambier (SA) , Launceston , Melbourne",-37.345221,144.910697
Bushfire - Gippsland,Melbourne,Melbourne,-37.52876,145.460574
Bushfire - Central Western NSW and Southern QLD,"Brisbane , Canberra (NSW) , Dubbo , Lismore (NSW)","Brisbane , Canberra (NSW) , Dubbo , Lismore (NSW)",-30.951782,151.010452
Bushfire - South East Victoria,Melbourne,Melbourne,-37.815784,144.958754
Bushfire - Saltern Creek,Longreach,Longreach,-23.609965,144.232325
Bushfire - Warenda Station Hughenden,Boulia,Boulia,-22.912066,140.187821
Bushfire - Widespread Victoria,"Cooma (VIC) , Mount Gambier (VIC) , Wilsons Promontory , Melbourne","Cooma (VIC) , Mount Gambier (VIC) , Wilsons Promontory , Melbourne",-37.866174,145.391067
"Criminal Act - Bourke Street Mall Incident, 2017",Melbourne,Melbourne,-37.943629,144.424494
"Criminal Act - Lindt Cafe siege, 2014",sydney,sydney,-33.788569,151.791579
"Criminal Act - Marriott and Ritz-Carlton hotel bombings, 2009",Outside Territorial Waters,Outside Territorial Waters,-24.42832,110.072675
Criminal Act - Bali Bombings,Outside Territorial Waters,Outside Territorial Waters,-24.999206,110.213683
Criminal Act - London Transport Bombings,Outside Territorial Waters,Outside Territorial Waters,-25.052574,109.953624
Criminal Act - Kuta Bali Bombing,Outside Territorial Waters,Outside Territorial Waters,-25.071159,110.059263
Criminal Act - 9/11 Terrorist Attacks,Outside Territorial Waters,Outside Territorial Waters,-24.986909,110.038971
Criminal Act - Snowtown Murders,Adelaide,Adelaide,-34.864739,138.364352
Criminal Act - Port Arthur Shooting Massacre,Hobart,Hobart,-43.011291,147.071717
Criminal Act - Liverpool Arson,Sydney,Sydney,-33.9385,151.108862
"Criminal - Terrigal Shootings, Sydney 1992",Central Coast,Central Coast,-33.655998,151.254509
Criminal Act - Kings Cross Hostel,Sydney,Sydney,-33.77729,150.926092
Criminal Act - Oenpelli Shooting Massacre,Alligator River,Alligator River,-12.664976,132.550009
Criminal Act - Queen Street Shooting,Melbourne,Melbourne,-37.799727,144.949722
Criminal Act - Hoddle Street Shooting,Melbourne,Melbourne,-37.973456,145.213909
Criminal Act - The Kimberley Murders,"Fitzroy Crossing , Katherine","Fitzroy Crossing , Katherine",-16.587259,128.87633
Criminal Act - Sydney Nursing Home,Sydney,Sydney,-33.847134,151.240508
