Event,Zone,Region,latitude,longitude
Flood - Melbourne and Victoria,Melbourne,Melbourne,-38.185217,145.411781
Flood - Geelong,Geelong,Geelong,-38.004526,144.309072
Flood - Nowra Flood,Nowra,Nowra,-34.903366,150.620156
Industrial - Longford Gas explision,"Bass Strait , Mount Gambier (VIC) , Wilsons Promontory , Melbourne","Bass Strait , Mount Gambier (VIC) , Wilsons Promontory , Melbourne",-39.143707,144.792945
Industrial - Bulli Mine,Wollongong,Wollongong,-34.440337,150.875549
Industrial - Dudley Mine,Sydney,Sydney,-33.77451,151.511621
Industrial - Broken Hill Mine Collapse,Broken Hill,Broken Hill,-31.690647,141.725938
Industrial - Creswick Gold Mine,Melbourne,Melbourne,-37.813902,144.963668
"Swanston Street wall collapse, 2013",Melbourne,Melbourne,-37.837788,145.004312
"Industrial – Pike River Mine, New Zealand",Outside Territorial Waters,Outside Territorial Waters,-25.329838,110.02418
Industrial - Savage River Mine Fire,Savage River,Savage River,-41.648715,145.194985
Industrial - Gladstone Factory Explosion,Whyalla,Whyalla,-33.267101,137.580625
Industrial - Beaconsfield Mine,Launceston,Launceston,-41.545892,147.527181
Industrial - Bellevue Hazardous Waste Fire,Perth,Perth,-31.949288,115.867612
Industrial -Kalgoorlie Mine Collapse,Kalgoorlie,Kalgoorlie,-30.561971,121.151737
Industrial - Hunter Valley Silo Explosion,Sydney,Sydney,-34.047081,150.828446
Industrial - North Parkes Mine,Dubbo,Dubbo,-32.552073,148.624408
Industrial - Moura Mine,Taroom,Taroom,-25.589412,149.857072
Industrial - South Bulli Coal Mine,Wollongong,Wollongong,-34.545102,150.845172
Industrial - Coode Island,Melbourne,Melbourne,-37.757463,144.874413
Industrial - Western Main,Hillston,Hillston,-33.506777,145.253137
Industrial - Leinster Mine Flood,Wiluna,Wiluna,-26.585819,120.219846
"Industrial - Boiling liquid expanding vapour explosion (BLEVE), Cairns",Cairns,Cairns,-17.47684,145.593255
Industrial - Moura Mine,Taroom,Taroom,-25.589412,149.857072
Industrial - Poisonous gases HMAS Stalwart,Territorial Waters,Territorial Waters,-19.706255,115.270217
Industrial - Appin Mine Explosion,Wollongong,Wollongong,-34.380126,151.039491
Industrial - Kianga Mine,Taroom,Taroom,-25.590937,149.739773
Industrial - Mount St Canice,Hobart,Hobart,-42.844383,147.279585
Industrial - Box Flat Mine Ipswich,Brisbane,Brisbane,-27.574187,152.459575
Industrial - Blackmans Flat,Dubbo,Dubbo,-32.226505,148.617069
"Industrial - Westgate Bridge Collapse, Melbourne",Melbourne,Melbourne,-37.834611,144.461594
Industrial â€“ Wyee State Mine,Sydney,Sydney,-33.948471,150.557688
Industrial â€“ Melbourne Crane Collapse,Melbourne,Melbourne,-37.95146,145.060538
Industrial - Collinsville Mine,Mackay,Mackay,-21.296438,149.136116
Industrial - Balmain colliery,Balmain,Balmain,-33.846988,151.559719
Industrial - Woodend Mine,Brisbane,Brisbane,-27.534224,153.077745
Industrial - Redhead Colliery,Sydney,Sydney,-33.967668,150.975184
Industrial - Bellbird Colliery,Sydney,Sydney,-34.181016,150.652536
Industrial - Mount Mulligan Mine,Cairns,Cairns,-16.87608,145.829628
Industrial - Great Extended Hustler's Mine explosion,Bendigo,Bendigo,-36.746292,144.296535
Industrial - Queenstown Copper Mine Fire,Hobart,Hobart,-42.956233,147.291052
Industrial - Stanford Merthyr Mine,Sydney,Sydney,-34.017007,151.523655
Industrial - Charters Towers mine 1904,Charters Towers,Charters Towers,-19.984438,146.627939
Industrial - Burwood Colliery,Sydney,Sydney,-33.67794,151.086965
Industrial - Balmain mining fall,Balmain,Balmain,-33.681169,151.761907
Industrial - Greta Colliery Fire,Sydney,Sydney,-33.902974,151.396488
Industrial - Varanus Island Gas Explosion,Dampier,Dampier,-20.563263,117.215411
Industrial - MV Nego Kim,Dampier,Dampier,-20.768043,117.268863
Industrial - HMAS Westralia (II),Perth,Perth,-31.970847,115.858747
Industrial - HMAS Tarakan Explosion,Sydney,Sydney,-33.547587,151.429874
Industrial - Wonthaggi Gas Explosion,Wilsons Promontory,Wilsons Promontory,-39.370109,146.588059
Industrial - Mt Kembla Gas Explosion,Wollongong,Wollongong,-34.346803,150.936667
Landslide - Somersby,Sydney,Sydney,-33.757021,151.06377
Landslide - Thredbo,Canberra (NSW),Canberra (NSW),-35.162,149.489766
Landslide - Gracetown,Gracetown,Gracetown,-33.869774,115.028169
Landslide - Adelaide Hills,Adelaide,Adelaide,-34.938173,138.593702
Other Disasters- Cowra POW Attempted Mass Escape,Dubbo,Dubbo,-32.260615,149.060471
Other Disasters - Wartime Bombing Raids,Darwin,Darwin,-12.360135,130.783732
"Severe Storm - Thunderstorm Asthma, 2016",Melbourne,Melbourne,-37.813255,144.963273
"Hail - North Sydney hailstorm, 2017",North sydney,North sydney,-33.960261,151.05091
Hail - Sydney,Sydney,Sydney,-34.033591,150.999672
Hail - Lismore,Lismore (NSW),Lismore (NSW),-28.214401,153.217536
Hail - Sydney Hailstorm,Sydney,Sydney,-34.100969,151.191418
Hail - Lake Grace,Bunbury,Bunbury,-33.39481,115.30505
Storm - Severe storm Sydney,Sydney,Sydney,-33.885924,150.56073
Hail - Gold Coast,Brisbane,Brisbane,-27.459491,153.052219
Hail - Brisbane,Brisbane,Brisbane,-27.859207,153.345955
Hail - South East Queensland,"Brisbane , Bundaberg , Lismore (QLD)","Brisbane , Bundaberg , Lismore (QLD)",-27.07056,152.89563
Hail - Sydney,Sydney,Sydney,-34.033591,150.999672
Hail - Brisbane and Region,Brisbane,Brisbane,-27.524632,152.616334
Hail - Singleton,Sydney,Sydney,-33.875144,151.208522
Hail - Armidale and Tamworth,Tamworth,Tamworth,-31.227745,150.955254
Hail - Brisbane and South East Queensland,Brisbane,Brisbane,-27.623537,153.100563
Hail - Adelaide,Adelaide,Adelaide,-34.929797,138.602243
Hail - Western Sydney,Sydney,Sydney,-33.928777,151.377675
Hail - Western Sydney,Sydney,Sydney,-33.928777,151.377675
Hail - Orange,Dubbo,Dubbo,-32.017915,148.789123
Hail - Brighton,Brisbane,Brisbane,-27.506325,152.905503
Hail - Port Broughton,Whyalla,Whyalla,-33.323414,137.940373
Hail - Toowoomba,Brisbane,Brisbane,-27.485043,153.286746
Severe Storm - Melbourne,Melbourne,Melbourne,-37.373296,144.809656
"Severe Storm - Melbourne, Victoria",Melbourne,Melbourne,-38.402492,144.988123
Severe Storm - Perth,Perth,Perth,-31.829985,115.837779
"Severe Storm - Melbourne, Victoria",Melbourne,Melbourne,-38.402492,144.988123
Severe Storm - South East Queensland,Brisbane,Brisbane,-27.549514,153.422457
Severe Storm - Southern States Windstorms,"Adelaide , Mount Gambier (SA) , Murray Bridge (SA) , Hobart , Launceston , Melbourne","Adelaide , Mount Gambier (SA) , Murray Bridge (SA) , Hobart , Launceston , Melbourne",-38.659907,142.855721
Severe Storm - South East Queensland and Northern New South Wales,"Brisbane , Bundaberg , Lismore (QLD) , Roma","Brisbane , Bundaberg , Lismore (QLD) , Roma",-26.934155,151.857151
Severe Storm - New South Wales East Coast Low,Sydney,Sydney,-33.924353,151.141154
Severe Storm - Northern New South Wales,Lismore (NSW),Lismore (NSW),-28.852505,153.240626
Severe Storm - Bunbury and South Perth,"Bunbury , Perth","Bunbury , Perth",-32.4646,115.224723
"Severe Storm - New South Wales, Victoria, Australian Capital Territory, Tasmania and South Australia","Sydney , Wollongong , Canberra (ACT) , Cooma (VIC) , Adelaide , Melbourne","Sydney , Wollongong , Canberra (ACT) , Cooma (VIC) , Adelaide , Melbourne",-35.393782,147.265914
"Severe Storm - South East Queensland, Northern New South Wales, Northern Western Australia. Northern Territory","Brisbane , Lismore (NSW) , Broome , Katherine","Brisbane , Lismore (NSW) , Broome , Katherine",-22.17177,140.239195
Severe Storm - South Eastern Australia,"Sydney , Wollongong , Canberra (ACT) , Cooma (VIC) , Warrnambool (VIC) , Wilsons Promontory , Hobart , Melbourne","Sydney , Wollongong , Canberra (ACT) , Cooma (VIC) , Warrnambool (VIC) , Wilsons Promontory , Hobart , Melbourne",-37.383197,147.620608
Severe Storm - Sydney,Sydney,Sydney,-33.960423,151.23445
"Severe Storm - Grafton, Kingscliff and Lismore",Lismore (NSW),Lismore (NSW),-28.774488,153.267779
"Severe Storm - Sydney, Hunter Valley and Northern Regions","Sydney , Tamworth , Wollongong","Sydney , Tamworth , Wollongong",-33.129049,151.01053
Severe Storm - Eastern New South Wales,Sydney,Sydney,-33.880426,151.215668
Severe Storm - Casino and Region,Lismore (NSW),Lismore (NSW),-28.568309,152.894808
Severe Storm - Sydney and Region,"Sydney , Wollongong","Sydney , Wollongong",-34.154794,151.038583
Storm - Melbourne,Melbourne,Melbourne,-37.847384,144.960189
Severe Storm - Dubbo,Dubbo,Dubbo,-32.248326,148.576834
"Severe Storm - Sydney, Wollongong and South Coast","Sydney , Wollongong","Sydney , Wollongong",-34.439598,151.079077
Severe Storm - Kosciuszko NP,Cooma (NSW),Cooma (NSW),-36.262401,148.993625
Severe Storm - Warwick,"Brisbane , Lismore (QLD)","Brisbane , Lismore (QLD)",-27.862075,152.920866
"Severe Storm - Hunter Valley, Tablelands and Southern Highlands","Sydney , Wollongong","Sydney , Wollongong",-34.229385,150.474354
Severe Storm - Ipswich,Brisbane,Brisbane,-27.399807,152.945844
Severe Storm - Sydney,Sydney,Sydney,-33.960423,151.23445
Severe Storm - Sydney and Regions,"Dubbo , Sydney , Tamworth","Dubbo , Sydney , Tamworth",-32.904587,149.928987
Severe Storm - Nyngan,Bourke,Bourke,-30.085722,145.939762
Severe Storm - Coffs Harbour,Tamworth,Tamworth,-30.713315,150.410217
Storm - Queensland Floods and Storms,Central and South East Queensland,Central and South East Queensland,-26.663903,152.067467
Severe Storm - New England and Hunter Valley,"Sydney , Tamworth","Sydney , Tamworth",-32.477517,151.131807
Severe Storm - Illawarra and Sydney,"Sydney , Wollongong","Sydney , Wollongong",-33.965478,151.301027
Severe Storm - Hunter Valley and Mid North Coast,Sydney,Sydney,-33.913426,151.704841
Severe Storm - Sydney and Blue Mountains,Sydney,Sydney,-34.387859,151.568017
Severe Storm - South Eastern Australia,"Sydney , Canberra (ACT) , Melbourne","Sydney , Canberra (ACT) , Melbourne",-35.797517,148.373567
"Severe Storm - Perth, Mandurah and South-West Coast","Bunbury , Geraldton , Perth","Bunbury , Geraldton , Perth",-31.307599,115.319829
Severe Storm - Sydney,Sydney,Sydney,-33.960423,151.23445
Severe Storm - Orbost,Cooma (VIC),Cooma (VIC),-36.232629,149.12103
Severe Storm - Sydney,Sydney,Sydney,-33.960423,151.23445
Severe Storm - Ballarat,Melbourne,Melbourne,-37.671247,144.461893
Severe Storm - Adelaide,Adelaide,Adelaide,-35.219307,138.467555
"Severe Storm - Newcastle, Sydney, Wollongong","Sydney , Wollongong","Sydney , Wollongong",-34.157808,151.336693
Severe Storm - Sydney,Sydney,Sydney,-33.960423,151.23445
Severe Storm - Western Sydney,Sydney,Sydney,-33.752676,151.149453
Storm - Brisbane,Brisbane,Brisbane,-27.443505,153.008447
Severe Storm - Sydney,Sydney,Sydney,-33.960423,151.23445
Storm - Sydney Hailstorm,Sydney,Sydney,-33.450915,151.15646
Maritime/Coastal - Lake Illawarra,Hobart,Hobart,-42.799214,146.540198
"Maritime/Coastal - AHS Centaur sinking, Cape Moreton",Brisbane,Brisbane,-27.467221,153.047203
Maritime/Coastal - Iron Crown steamship Sinking,Cooma (VIC),Cooma (VIC),-36.106643,149.135057
Maritime/Coastal - Sydney to Hobart Yacht Race,Bass Strait,Bass Strait,-39.622038,146.49389
Shipwreck - Sierra Nevada,Wilsons Promontory,Wilsons Promontory,-38.922666,146.671219
"Shipwreck - Toroa Shipwreck, Victoria 1858",Cape Otway,Cape Otway,-38.846282,143.509715
Shipwreck - Koenig Willem ll,Mount Gambier (SA),Mount Gambier (SA),-38.064286,140.843537
Shipwreck - Sally,Launceston,Launceston,-41.424688,146.434698
Shipwreck - Ly-Ee-Moon,Cooma (NSW),Cooma (NSW),-36.40999,148.862581
Shipwreck - Sea,Wilsons Promontory,Wilsons Promontory,-38.852915,146.205348
Shipwreck - Ecliptic,Wilsons Promontory,Wilsons Promontory,-38.566124,145.933571
Shipwreck - Creole,Launceston,Launceston,-41.865982,147.043755
Shipwreck - Rebecca,Hobart,Hobart,-42.878068,147.337916
Shipwreck - Alert,Wilsons Promontory,Wilsons Promontory,-39.016687,146.334771
Shipwreck - Glimpse,Launceston,Launceston,-41.279176,146.998539
Shipwreck - Maypo,Hobart,Hobart,-42.652387,146.932466
Shipwreck - Frisk,Wilsons Promontory,Wilsons Promontory,-39.030305,146.323896
Shipwreck - Marmion,Wilsons Promontory,Wilsons Promontory,-39.043922,146.302785
Shipwreck - Vergulde Draeck,Perth,Perth,-31.949046,115.871198
Shipwreck - Quetta,Cairns,Cairns,-16.544341,145.782266
Shipwreck - Governor Phillip,Launceston,Launceston,-41.475956,147.467899
Shipwreck - Echo,Hobart,Hobart,-42.672433,147.325495
Shipwreck - Lady Franklin,Hobart,Hobart,-42.68104,147.517729
Shipwreck - Tubal Cain,Wilsons Promontory,Wilsons Promontory,-39.291391,146.261042
Shipwreck - Pandora,Cairns,Cairns,-16.929731,145.763473
Shipwreck - Thetis,Wilsons Promontory,Wilsons Promontory,-38.78086,146.497757
Shipwreck - HMS Pelorus,Darwin,Darwin,-12.463401,130.8456
Shipwreck - Trial (Tryal),Dampier,Dampier,-20.835569,116.631512
Shipwreck - Revenge,Wollongong,Wollongong,-34.487139,150.82007
"Shipwreck - Lily of the Lake, Wild Wave, Blossom",Exmouth Gulf,Exmouth Gulf,-21.825007,114.498578
Shipwreck - Haweis,Sydney,Sydney,-33.868206,151.211594
Shipwreck - Lady Bird and Champion,Wilsons Promontory,Wilsons Promontory,-38.802833,146.589177
Shipwreck - Meg Merrilies,Wilsons Promontory,Wilsons Promontory,-39.250597,146.37367
Shipwreck - Gothenburg,Ayr,Ayr,-19.559354,147.440591
Shipwreck - Brothers,Sydney,Sydney,-33.86904,151.208897
Shipwreck - Bogong,Cooma (VIC),Cooma (VIC),-36.188811,149.09944
Shipwreck - British Admiral,Wilsons Promontory,Wilsons Promontory,-39.227486,146.151823
"Shipwreck - Highlander, Baruah, Elizabeth Jane, Effort and Pelican.",Sydney,Sydney,-34.064629,150.971137
Shipwreck - Broome and Region,Broome,Broome,-17.991565,121.935764
Shipwreck - Canmore,Sydney,Sydney,-34.21157,151.291181
Shipwreck - Moolgewanke,Murray Bridge (SA),Murray Bridge (SA),-35.208438,139.304413
Shipwreck - Brahmin,Launceston,Launceston,-41.706516,147.549683
Shipwreck - Edward,Launceston,Launceston,-41.690842,147.145494
Shipwreck - Stirling Castle,Swain Reefs,Swain Reefs,-21.525181,151.918792
Shipwreck - Banshee,Townsville,Townsville,-19.329592,146.886633
Shipwreck - Isabella Watson,Wilsons Promontory,Wilsons Promontory,-39.4692,146.331031
Shipwreck - Schah,Cooma (VIC),Cooma (VIC),-36.337388,149.092108
Shipwreck - Yarra Yarra,Launceston,Launceston,-41.225176,147.419891
Shipwreck - Dunbar,Sydney,Sydney,-33.870166,151.210161
Shipwreck - Rambler,Sydney,Sydney,-33.859837,150.982679
Shipwreck - Cheviot,Wilsons Promontory,Wilsons Promontory,-39.10768,145.699845
Shipwreck - Marie,Warrnambool (VIC),Warrnambool (VIC),-38.298531,142.504226
Shipwreck - Carrington,Sydney,Sydney,-33.683043,151.070473
Shipwreck - Antares,Launceston,Launceston,-41.251853,146.932228
Shipwreck - Balclutha,Sydney,Sydney,-33.852442,151.22612
Shipwreck - Rembrandt,Cooma (VIC),Cooma (VIC),-35.946342,149.279269
Shipwreck - Peruvian,Cairns,Cairns,-16.98313,145.91203
Shipwreck - Ellen Simpson,Cooma (VIC),Cooma (VIC),-36.231081,149.120592
Shipwreck - Favourite,Wilsons Promontory,Wilsons Promontory,-39.042729,146.40138
Shipwreck - Port Phillip Packet,Launceston,Launceston,-41.411705,147.340467
Shipwreck - Enchantress,Hobart,Hobart,-43.026112,146.904067
Shipwreck - Annie Ward,Hobart,Hobart,-42.946734,147.315409
Shipwreck - Monumental City,Cooma (VIC),Cooma (VIC),-35.873984,149.339035
Shipwreck - Rover,Wollongong,Wollongong,-34.42576,150.819237
Shipwreck - Conside,Wilsons Promontory,Wilsons Promontory,-39.257906,146.484893
Shipwreck - John Nussey,Wilsons Promontory,Wilsons Promontory,-38.921135,146.108065
Shipwreck - Geltwood,Mount Gambier (SA),Mount Gambier (SA),-37.939748,140.593993
Shipwreck - Neva,Launceston,Launceston,-41.442895,147.170886
Shipwreck - Nonpareil,Wilsons Promontory,Wilsons Promontory,-39.025782,146.327978
Shipwreck - Star of Greece,Adelaide,Adelaide,-34.959969,137.957889
Shipwreck - Rip,Port Philip,Port Philip,-38.027762,144.918506
Shipwreck - Spencer,Wilsons Promontory,Wilsons Promontory,-38.958743,146.298754
Shipwreck - St Patrick,Sydney,Sydney,-33.744098,151.444517
Shipwreck - Carlisle Castle and City of York,Perth,Perth,-31.770335,115.956712
Shipwreck - PSS Cawarra,Sydney,Sydney,-33.868877,151.209425
Shipwreck - George lll,Hobart,Hobart,-42.953022,147.709081
Shipwreck - Dandenong,Wollongong,Wollongong,-34.412027,150.93592
Shipwreck - Farningham,Hobart,Hobart,-42.54535,147.201317
Shipwreck - Macclesfield,Wilsons Promontory,Wilsons Promontory,-39.072601,146.215879
Shipwreck - Domain,Wilsons Promontory,Wilsons Promontory,-39.029766,146.317818
Shipwreck - Bonnie Dundee and Barrabool Collision,Sydney,Sydney,-33.376718,151.411334
Shipwreck - Providence,Melbourne,Melbourne,-37.812391,144.960709
Shipwreck - Elmgrove,Wilsons Promontory,Wilsons Promontory,-39.201832,146.279181
Shipwreck - Zeewijk,Geraldton,Geraldton,-28.776343,114.615698
Shipwreck - Kielawarra,Tamworth,Tamworth,-30.784476,150.952092
Shipwreck - Bunyip,Murray Bridge (SA),Murray Bridge (SA),-35.117557,139.27341
Shipwreck - Admiral Gifford,Sydney,Sydney,-34.033582,151.346931
Shipwreck - Bertha,Wilsons Promontory,Wilsons Promontory,-39.181831,146.822235
Shipwreck - Fairy,Launceston,Launceston,-41.759334,146.904406
Shipwreck - Craigburn,Wilsons Promontory,Wilsons Promontory,-39.116943,146.434798
Shipwreck - Circassian,Cooma (VIC),Cooma (VIC),-35.78626,148.860654
Shipwreck - Admella,Adelaide,Adelaide,-35.348023,138.595746
Shipwreck - Toroa,Wilsons Promontory,Wilsons Promontory,-39.098577,146.135063
Shipwreck - Fiji,Wilsons Promontory,Wilsons Promontory,-39.029926,146.29841
Shipwreck - Mars,Hobart,Hobart,-42.912321,147.346385
Shipwreck - Cumberland,Albany,Albany,-35.008275,117.815561
Shipwreck - Cataraqui,Launceston,Launceston,-41.797393,146.920454
Shipwreck - Eric the Red,Wilsons Promontory,Wilsons Promontory,-39.038297,146.326555
Shipwreck - Cambus Wallace,Brisbane,Brisbane,-27.49507,153.595143
Shipwreck - Julia,Mount Gambier (VIC),Mount Gambier (VIC),-37.715733,140.97007
Shipwreck - Rainbow,Sydney,Sydney,-33.884015,151.329425
Shipwreck - Isabella,Tamworth,Tamworth,-31.041852,150.933845
Shipwreck - Vixen,Brisbane,Brisbane,-27.491674,153.109799
Shipwreck - Sally,Sydney,Sydney,-33.860288,150.568751
Shipwreck - Lightship Rose,Brisbane,Brisbane,-27.412396,153.06744
Shipwreck - Columbine,Wilsons Promontory,Wilsons Promontory,-39.065756,146.46298
Shipwreck - Georgina and Spy,Hobart,Hobart,-42.694491,147.174368
Shipwreck - Sappho,Wilsons Promontory,Wilsons Promontory,-39.038861,146.124282
"Shipwreck - SIEV 221, Rocky Point, Christmas Island",Christmas and Cocos Islands,Christmas and Cocos Islands,-12.211777,96.833727
Shipwreck - Just Cruisin,Brisbane,Brisbane,-27.462801,153.056898
Shipwreck - Mineral Diamond,Port Hedland,Port Hedland,-20.308593,118.609436
Shipwreck - Shark Ace 4,Cooma (VIC),Cooma (VIC),-36.205052,149.167616
Shipwreck â€“ Nâ€™glucka,Sydney,Sydney,-34.18927,151.367215
Shipwreck - Great Expectations,Launceston,Launceston,-41.036719,147.559329
Shipwreck - Booya,Darwin,Darwin,-12.810995,131.122479
Shipwreck - Mandorah Queen,Darwin,Darwin,-12.746365,131.044623
Shipwreck - Blythe Star II,Launceston,Launceston,-41.492288,146.518966
Shipwreck - Collision Melbourne and Nieuw Holland,Wilsons Promontory,Wilsons Promontory,-39.041214,146.314402
Shipwreck - Sedco Helen,Darwin,Darwin,-12.334139,130.86167
Shipwreck - Noongah,Tamworth,Tamworth,-31.004885,150.252981
Shipwreck - Port Welshpool Ship Explosion,Wilsons Promontory,Wilsons Promontory,-39.028731,145.94928
Shipwreck - Naval Collision off Jervis Bay,Wollongong,Wollongong,-34.630659,150.573467
Shipwreck - Vicky,Wilsons Promontory,Wilsons Promontory,-39.007273,146.299175
Shipwreck - Fairwind,Tamworth,Tamworth,-31.223519,151.49302
Shipwreck - La Grange and Unidentified,Darwin,Darwin,-12.020392,131.046223
Shipwreck - Sibigo,Cooktown,Cooktown,-15.393876,145.196959
Shipwreck - Peter Silvester,Bunbury,Bunbury,-33.001071,115.575348
Shipwreck - Macumba,Coburg Peninsula,Coburg Peninsula,-11.296704,131.726711
Shipwreck - Wollongong,Wollongong,Wollongong,-34.427786,150.893105
Shipwreck - HMAS Kuttabul,Sydney,Sydney,-33.838442,151.237139
Shipwreck - Submarine l-124,Darwin,Darwin,-12.045974,130.885748
Shipwreck - HMAS Sydney,Outside Territorial Waters,Outside Territorial Waters,-25.125375,110.013823
Shipwreck - Goorangai,Wilsons Promontory,Wilsons Promontory,-38.643927,146.243916
Shipwreck - Kakariki and SS Caradale,Melbourne,Melbourne,-37.535352,145.449813
Shipwreck - Paringa,Wilsons Promontory,Wilsons Promontory,-38.977271,146.414523
Shipwreck - Lacepede Island,Broome,Broome,-18.189963,121.719171
Shipwreck - Coramba,Warrnambool (VIC),Warrnambool (VIC),-38.536963,142.55158
Shipwreck - Christina Fraser,Cooma (VIC),Cooma (VIC),-36.190507,148.857389
Shipwreck - Casino,Wilsons Promontory,Wilsons Promontory,-38.935881,146.3623
Shipwreck - Greycliffe,Sydney,Sydney,-33.868645,151.209151
Shipwreck - Wyrallah,Wilsons Promontory,Wilsons Promontory,-39.02807,146.323185
Shipwreck - S.S. Douglas Mawson,Territorial Waters,Territorial Waters,-20.000014,114.999916
Shipwreck - Southern Cross,Launceston,Launceston,-41.655904,147.47297
Shipwreck - Amelia J,Cooma (VIC),Cooma (VIC),-36.141753,149.21142
Shipwreck - Pareora,Adelaide,Adelaide,-34.794459,138.722542
"Shipwreck - Afric, Harriet, Leila, Opal",Melville Island,Melville Island,-11.777659,130.581637
Shipwreck - Antares,Warrnambool (VIC),Warrnambool (VIC),-38.200453,142.285362
Shipwreck - Candidate,Lismore (NSW),Lismore (NSW),-28.921503,153.676792
"Maritime/Coastal - SS Rosedale Shipwreck, NSW 1911",Crowdy Head,Crowdy Head,-31.885454,153.045201
Shipwreck - Glenelg,Cooma (VIC),Cooma (VIC),-36.266965,149.105798
Shipwreck - Yongala,Ayr,Ayr,-19.568032,147.400232
Shipwreck - Errol Middleton Reef,Lismore (NSW),Lismore (NSW),-28.765563,153.342387
Shipwreck - Loch Lomond,Sydney,Sydney,-33.971019,151.44016
Shipwreck - Orion,Launceston,Launceston,-41.425304,147.180248
Shipwreck - Alfhild,Hobart,Hobart,-43.325818,147.492239
Shipwreck - Kawatiri,Launceston,Launceston,-41.403061,147.268409
Shipwreck - Brier Holme,Hobart,Hobart,-42.781427,147.214818
Shipwreck - Acacia,Hobart,Hobart,-43.144914,147.676826
Shipwreck - Edward Lombe,Sydney,Sydney,-33.802178,150.957411
Shipwreck - The Rip Shipwwreck,Port Phillip Heads,Port Phillip Heads,-38.55565,144.802954
Shipwreck - Federal,Cooma (VIC),Cooma (VIC),-36.29948,149.137014
Tornado - Kin Kin,Brisbane,Brisbane,-27.925682,153.044795
Transport - Redfern Train Collision,Sydney,Sydney,-33.822573,151.240568
Transport - Cootamundra Train Derailment,Wollongong,Wollongong,-34.535993,150.845341
Transport - Brisbane River Ferry Sinking,Brisbane,Brisbane,-27.474773,153.030383
"Transport – Emu Plains Train Collision, New South Wales 1878",Emu Plains,Emu Plains,-33.759438,150.67306
"Transport – Aircraft crash, Caboolture Queensland 2014",Caboolture,Caboolture,-27.012028,152.878556
Transport – Laos plane crash 2013,Outside Territorial Waters,Outside Territorial Waters,-24.945058,110.122134
Transport - Papua New Guinea Plane Crash,Outside Territorial Waters,Outside Territorial Waters,-24.941713,110.125578
Transport - Taxi and Truck Collision,Darwin,Darwin,-12.37223,130.828006
Transport - Kerang Train and Truck Collision,Swan Hill (VIC),Swan Hill (VIC),-35.529598,143.561189
Transport â€“ Sydney Ferry Accident,Sydney,Sydney,-34.122987,151.448798
Transport - Burnley Tunnel Fire,Melbourne,Melbourne,-37.857092,145.004766
Transport - Plane Crash Indonesia,Outside Territorial Waters,Outside Territorial Waters,-25.099994,109.925723
Transport - Trawalla Train and Truck Collision,Melbourne,Melbourne,-37.597096,145.180745
Transport - Egypt Bus Crash,Outside Territorial Waters,Outside Territorial Waters,-25.223417,110.090522
"Transport - Bundaberg Backpacker mini-bus accident, Queensland 2005",Bundaberg,Bundaberg,-24.711856,151.891674
Transport -Mini Bus accident on Jamberoo Mountain Road,Wollongong,Wollongong,-34.426193,150.889288
Transport - Lockhart River Plane Crash,Weipa,Weipa,-12.754509,141.988056
Transport - Navy Helicopter Accident,Outside Territorial Waters,Outside Territorial Waters,-24.936796,110.451663
"Transport - St Albans, Train and Car Collision",Melbourne,Melbourne,-37.563397,144.788337
Transport - Waterfall Train Crash,Sydney,Sydney,-33.300808,151.233825
"Transport - Salisbury - Train, Bus and Car Collision",Adelaide,Adelaide,-35.277192,138.580833
Transport - Benalla Train Derailment,Melbourne,Melbourne,-38.032734,145.000313
Transport - Albury Bus Crash,Canberra (NSW),Canberra (NSW),-35.274615,149.099163
Transport - Wandandian bus crash,Wollongong,Wollongong,-34.526111,150.89663
Transport - Barossa Valley School Bus Crash,Adelaide,Adelaide,-34.813906,138.524881
Transport - Newman Police Aircraft Crash,Tom Price,Tom Price,-22.58446,117.873504
Transport - Capricorn Helicopter Rescue Crash,Rockhampton,Rockhampton,-22.839499,150.347391
Transport - Spencer Gulf Light Aircraft Crash,Whyalla,Whyalla,-33.07952,137.494476
Transport - Glenbrook (Blue Mountains) Railway Accident,Sydney,Sydney,-33.865399,151.210047
"Transport - Gulf of Carpentaria Light Aircraft Crash, Queensland 1999",Gulf of Carpentaria,Gulf of Carpentaria,-16.013718,138.990394
Transport - Fiji Air Crash,Outside Territorial Waters,Outside Territorial Waters,-24.587814,110.062799
Transport - Eastern Highlands Papua New Guinea Plane Crash,Outside Territorial Waters,Outside Territorial Waters,-25.21352,110.063769
"Transport - Torres Strait plane crash, Queensland 1999",Torres Strait,Torres Strait,-10.543606,142.197996
Transport - Albury Coach and Truck Collision,Canberra (NSW),Canberra (NSW),-35.265183,149.117372
Transport - Bookham Coach Semi-Trailer Collision,Canberra (NSW),Canberra (NSW),-35.259285,149.138021
Transport - Black Hawk Air Collision,Townsville,Townsville,-19.258765,146.816926
Transport - Albany Light Aircraft Crash,Albany,Albany,-35.044919,117.873994
Transport - Merredin Rail Collision,Merredin,Merredin,-31.482645,118.278377
"Transport - Williamtown to Lord Howe Island, Light Aircraft Crash",Cooma (NSW),Cooma (NSW),-36.240684,149.090896
Transport - Boondall (Brisbane) Bus Crash,Brisbane,Brisbane,-27.292209,153.048057
Transport - Wangaratta Truck and Bus Collision,Melbourne,Melbourne,-37.464867,144.553765
