Event,Category,State,Fatalities,Insured Cost,Start Date,End Date,URL
Bushfire - Linton (near Ballarat),Bushfire,Melbourne,5.0,,1998-12-02 00:00:00,1998-12-02 00:00:00,https://knowledge.aidr.org.au/resources/bushfire-linton-victoria/
"Bushfire - Sydney, Hunter, Pilliga",Bushfire,Sydney,4.0,,1997-11-20 00:00:00,1997-12-20 00:00:00,https://knowledge.aidr.org.au/resources/bushfire-sydney-hunter-pilliga/
Bushfire - Kangaroo Island,Bushfire,Kangaroo Island,1.0,17900000.0,2007-12-06 00:00:00,,https://knowledge.aidr.org.au/resources/bushfire-kangaroo-island-south-australia-2007/
Bushfire - Dandenong Ranges and Mornington Peninsula,Bushfire,"Wilsons Promontory , Melbourne",3.0,29000000.0,1997-01-19 00:00:00,1997-01-21 00:00:00,https://knowledge.aidr.org.au/resources/bushfire-dandenong-ranges-and-mornington-peninsula/
Bushfire - East Coast,Bushfire,Brisbane,,59100000.0,1994-09-27 00:00:00,1994-11-07 00:00:00,https://knowledge.aidr.org.au/resources/bushfire-east-coast-queensland/
"Bushfire - North Coast, Hunter and Sydney",Bushfire,"Dubbo , Lismore (NSW) , Sydney",4.0,59000000.0,1993-12-27 00:00:00,1994-01-16 00:00:00,https://knowledge.aidr.org.au/resources/bushfire-north-coast-hunter-and-sydney-regions-1993-94/
Bushfire - Western Sydney and Central Coast,Bushfire,Sydney,2.0,12000000.0,1991-10-16 00:00:00,1992-01-31 00:00:00,https://knowledge.aidr.org.au/resources/bushfire-western-sydney-and-central-coast-new-south-wales-1991/
Bushfire - Cootamundra and Deniliquin Regions,Bushfire,"Canberra (NSW) , Swan Hill (NSW)",3.0,,1987-01-17 00:00:00,1987-01-20 00:00:00,https://knowledge.aidr.org.au/resources/bushfire-cootamundra-and-deniliquin-nsw-1987/
Bushfire - Central Victoria and Alpine Fires,Bushfire,"Cooma (VIC) , Mount Gambier (VIC) , Wilsons Promontory , Melbourne",3.0,,1985-01-14 00:00:00,1985-01-28 00:00:00,https://knowledge.aidr.org.au/resources/bushfire-central-victoria-and-alpine-region/
Bushfire - North-Western Regions ,Bushfire,Bourke,4.0,25000000.0,1984-09-01 00:00:00,1985-02-01 00:00:00,https://knowledge.aidr.org.au/resources/bushfire-north-western-regions/
Bushfire - Ash Wednesday,Bushfire,"Wilsons Promontory , Adelaide , Melbourne",75.0,176000000.0,1983-02-16 00:00:00,1983-02-18 00:00:00,https://knowledge.aidr.org.au/resources/bushfire-ash-wednesday-1983/
Bushfire - Sydney and Southern Regions,Bushfire,Sydney,3.0,,1983-01-01 00:00:00,1983-01-31 00:00:00,https://knowledge.aidr.org.au/resources/bushfire-sydney-and-southern-regions-1983/
Bushfire - Sydney and Wollongong,Bushfire,"Sydney , Wollongong",5.0,,1980-11-03 00:00:00,1980-11-03 00:00:00,https://knowledge.aidr.org.au/resources/bushfire-sydney-and-wollongong/
Bushfire - Mount Lofty Ranges,Bushfire,Adelaide,,13000000.0,1980-02-20 00:00:00,1980-02-20 00:00:00,https://knowledge.aidr.org.au/resources/bushfire-mount-lofty-ranges-south-australia-1980/
Bushfire - Sydney and Region,Bushfire,Sydney,5.0,,1979-12-01 00:00:00,1980-02-01 00:00:00,https://knowledge.aidr.org.au/resources/bushfire-sydney-and-surrounding-region-new-south-wales-1979/
Bushfire - Western Districts and Streatham ,Bushfire,Melbourne,4.0,9000000.0,1977-02-12 00:00:00,1977-02-12 00:00:00,https://knowledge.aidr.org.au/resources/bushfire-western-districts-and-streatham/
Bushfire - New South Wales 1974,Bushfire,"Bourke , Hillston , Swan Hill (NSW) , Sydney",3.0,,1974-12-01 00:00:00,1975-02-01 00:00:00,https://knowledge.aidr.org.au/resources/bushfire-new-south-wales-1974/
Bushfire - Lara and Melbourne Fringe,Bushfire,Wilsons Promontory,23.0,,1969-01-08 00:00:00,1969-01-09 00:00:00,https://knowledge.aidr.org.au/resources/bushfire-lara-and-melbourne-fringe-victoria/
Bushfire - Blue Mountains and Illawarra,Bushfire,Sydney,14.0,,1968-10-15 00:00:00,1968-12-03 00:00:00,https://knowledge.aidr.org.au/resources/bushfire-blue-mountains-and-illawarra-new-south-wales-1968/
Bushfire - Black Tuesday Tasmania,Bushfire,"Hobart , Launceston",62.0,14000000.0,1967-02-07 00:00:00,1967-02-07 00:00:00,https://knowledge.aidr.org.au/resources/bushfire-black-tuesday-tasmania-1967/
Bushfire - Gippsland,Bushfire,"Cooma (VIC) , Melbourne",3.0,,1965-02-15 00:00:00,1965-03-13 00:00:00,https://knowledge.aidr.org.au/resources/bushfire-gippsland-1965/
Bushfire - Longwood District,Bushfire,Melbourne,7.0,,1965-01-17 00:00:00,1965-01-17 00:00:00,https://knowledge.aidr.org.au/resources/bushfire-longwood-victoria/
Bushfire - Southern Victoria and Dandenong Ranges,Bushfire,Melbourne,8.0,,1962-01-14 00:00:00,1962-02-16 00:00:00,https://knowledge.aidr.org.au/resources/bushfire-dandenong-ranges-and-southern-victoria/
Bushfire - Wandilo,Bushfire,Mount Gambier (SA),8.0,,1958-04-05 00:00:00,1958-04-06 00:00:00,https://knowledge.aidr.org.au/resources/bushfire-wandilo-south-australia-1958/
Bushfire - Blue Mountains and Sydney Region,Bushfire,Sydney,4.0,,1957-11-30 00:00:00,1957-12-04 00:00:00,https://knowledge.aidr.org.au/resources/bushfire-blue-mountains-and-sydney-1957/
"Bushfire - Black Sunday, Mt Lofty Ranges",Bushfire,Adelaide,2.0,,1955-01-02 00:00:00,1955-01-02 00:00:00,https://knowledge.aidr.org.au/resources/bushfire-black-sunday-mt-lofty-ranges-1955/
Bushfire - Narollah Station,Bushfire,Charters Towers,3.0,,1954-11-14 00:00:00,1954-11-14 00:00:00,https://knowledge.aidr.org.au/resources/bushfire-narollah-station-queensland-1954/
Bushfire - Central and Southern Victoria,Bushfire,Melbourne,10.0,,1952-01-01 00:00:00,1952-03-01 00:00:00,https://knowledge.aidr.org.au/resources/bushfire-central-and-southern-victoria-1952/
Bushfire - Australian Capital Territory and South-West New South Wales,Bushfire,"Canberra (NSW) , Dubbo , Hillston",13.0,,1951-11-01 00:00:00,1952-01-31 00:00:00,https://knowledge.aidr.org.au/resources/bushfire-act-and-south-west-new-south-wales-1951-52/
