Event,Category,State,Fatalities,Insured Cost,Start Date,End Date,URL
Cyclone Broome,Cyclone,Broome,40.0,,1910-11-19 00:00:00,1910-11-19 00:00:00,https://knowledge.aidr.org.au/resources/cyclone-broome/
Cyclone - Cooktown,Cyclone,Cooktown,9.0,,1907-01-19 00:00:00,1907-01-19 00:00:00,https://knowledge.aidr.org.au/resources/cyclone-cooktown-queensland-1907/
Cyclone Leonta,Cyclone,Townsville,10.0,,1903-03-09 00:00:00,1903-03-09 00:00:00,https://knowledge.aidr.org.au/resources/cyclone-cyclone-leonta-queensland/

Earthquake - Christchurch - New Zealand,Earthquake,Outside Territorial Waters,185.0,370000000.0,2011-02-22 00:00:00,2011-02-22 00:00:00,https://knowledge.aidr.org.au/resources/earthquake-christchurch-new-zealand-2011/
Earthquake - Sumatra,Earthquake,Outside Territorial Waters,1117.0,,2009-09-30 00:00:00,2009-09-30 00:00:00,https://knowledge.aidr.org.au/resources/earthquake-sumatra-indonesia/
"Earthquake â€“ Hunter Valley, Ellalong and Cessnock",Earthquake,Sydney,,37200000.0,1994-08-06 00:00:00,1994-08-06 00:00:00,https://knowledge.aidr.org.au/resources/earthquake-hunter-valley/
Earthquake - Newcastle,Earthquake,Sydney,13.0,862000000.0,1989-12-28 00:00:00,1989-12-29 00:00:00,https://knowledge.aidr.org.au/resources/earthquake-newcastle-1989/
Earthquake - Meckering and Region,Earthquake,Merredin,,1500000.0,1968-10-14 00:00:00,1968-10-14 00:00:00,https://knowledge.aidr.org.au/resources/earthquake-meckering-region-western-australia/
Earthquake - Victoria ,Earthquake,Alpine National Park,,110533377.0,2021-09-22 00:00:00,2021-09-22 00:00:00,https://knowledge.aidr.org.au/resources/earthquake-victoria-september-2021/
Environment - Drought,Environment,New South Wales,,364000000.0,2012-04-01 00:00:00,2014-01-31 00:00:00,https://knowledge.aidr.org.au/resources/environment-drought-queensland-and-new-south-wales/
Environment - Central Wheatbelt Western Australia,Environment,Merredin,,98000000.0,1998-09-19 00:00:00,1998-09-23 00:00:00,https://knowledge.aidr.org.au/resources/environment-central-wheatbelt-frost-merridan/
Health- South Eastern Australia Heatwave,Health,"Cooma (VIC) , Mount Gambier (VIC) , Murray Bridge (VIC) , Swan Hill (VIC) , Warrnambool (VIC) , Adelaide , Ceduna , Coober Pedy , Cook , Danggali (SA) , Lake Blanche , Lake Eyre , Lake Maurice , Leigh Creek , Marla , Mount Gambier (SA) , Murray Bridge (SA) , Musgrave ranges , Oodnadatta , Tarcoola , Warburton Creek , Warrnambool (SA) , Whyalla , Woomera , Melbourne",374.0,,2009-01-27 00:00:00,2009-01-31 00:00:00,https://knowledge.aidr.org.au/resources/health-heatwave-south-eastern-australia-2009/
Health - South East Queensland Heatwave,Health,Brisbane,22.0,,2000-01-20 00:00:00,2000-01-24 00:00:00,https://knowledge.aidr.org.au/resources/health-heatwave-south-east-queensland/
Health - Townsville Heatwave,Health,Townsville,3.0,,1994-01-06 00:00:00,1994-01-10 00:00:00,https://knowledge.aidr.org.au/resources/health-heatwave-townsville/
Health - National Heatwave,Health,"Brisbane , Sydney , Canberra (ACT) , Adelaide , Perth , Darwin , Hobart , Melbourne",99.0,,1972-12-01 00:00:00,1973-02-28 00:00:00,https://knowledge.aidr.org.au/resources/health-national-heatwave-1972/
Health -  Oodnadatta Heatwave,Health,Oodnadatta,13.0,,1959-12-31 00:00:00,1960-01-03 00:00:00,https://knowledge.aidr.org.au/resources/health-heatwave-oodnadatta/
Health - National Heatwave,Health,"Brisbane , Sydney , Canberra (ACT) , Adelaide , Perth , Darwin , Hobart , Melbourne",98.0,,1959-12-01 00:00:00,1960-02-28 00:00:00,https://knowledge.aidr.org.au/resources/health-national-heatwave-1959/
Health - National Heatwave,Health,"Brisbane , Sydney , Canberra (ACT) , Adelaide , Perth , Darwin , Hobart , Melbourne",112.0,,1939-12-01 00:00:00,1940-02-28 00:00:00,https://knowledge.aidr.org.au/resources/health-national-heatwave-1939-1949/
Health- South Eastern Australia Heatwave,Health,"Sydney , Adelaide , Ceduna , Melbourne",400.0,,1939-01-01 00:00:00,1939-01-16 00:00:00,https://knowledge.aidr.org.au/resources/health-heatwave-south-eastern-australia-1939/
Health - Melbourne and Northern Victoria Legionnaires' Disease Outbreak,Health,Melbourne,4.0,,2000-04-11 00:00:00,2000-04-27 00:00:00,https://knowledge.aidr.org.au/resources/health-legionnaires-disease-outbreak/
Health - Food Poisoning Outbreak,Health,Adelaide,1.0,,1994-11-01 00:00:00,1995-02-01 00:00:00,https://knowledge.aidr.org.au/resources/health-food-poisoning-outbreak-adelaide/
Health- Spanish Flu,Health,"Brisbane , Sydney , Canberra (ACT) , Adelaide , Perth , Darwin , Hobart , Melbourne",10000.0,,1918-01-01 00:00:00,1919-12-31 00:00:00,https://knowledge.aidr.org.au/resources/health-spanish-flu-1919/
Health - Bubonic Plague Sydney,Health,"Brisbane , Sydney , Adelaide , Bunbury , Perth , Melbourne",535.0,,1900-01-19 00:00:00,1925-01-01 00:00:00,https://knowledge.aidr.org.au/resources/health-bubonic-plague/
Health - Heatwave,Environment,"Brisbane , Sydney , Canberra (ACT) , Adelaide , Perth , Darwin , Hobart , Melbourne",431.0,,01/12/1895,28/02/1896,https://knowledge.aidr.org.au/resources/health-national-heatwave-1895/
Health - South-Eastern Australia Heatwave,Health,National,167.0,37000000.0,2014-01-07 00:00:00,2014-01-22 00:00:00,https://knowledge.aidr.org.au/resources/health-heatwave-south-eastern-australia/
Health - National Heatwave,Health,National,130.0,,1926-12-26 00:00:00,1927-01-27 00:00:00,https://knowledge.aidr.org.au/resources/health-national-heatwave-1926/
Health - National Heatwave,Health,National,240.0,,2012-12-28 00:00:00,2013-01-10 00:00:00,https://knowledge.aidr.org.au/resources/health-national-heatwave-2012/
Health - Heatwave,Health,"Brisbane , Sydney , Canberra (ACT) , Adelaide , Perth , Darwin , Hobart , Melbourne",438.0,,1938-12-01 00:00:00,1939-02-28 00:00:00,https://knowledge.aidr.org.au/resources/health-national-heatwave-1938/
Health - Heatwave,Health,"Brisbane , Sydney , Canberra (ACT) , Adelaide , Perth , Darwin , Hobart , Melbourne",130.0,,1926-12-01 00:00:00,1927-02-28 00:00:00,https://knowledge.aidr.org.au/resources/health-national-heatwave-1926/
Health - Heatwave,Health,"Brisbane , Sydney , Canberra (ACT) , Adelaide , Perth , Darwin , Hobart , Melbourne",147.0,,1920-12-01 00:00:00,1921-02-28 00:00:00,https://knowledge.aidr.org.au/resources/health-national-heatwave-1920/
Health - Heatwave,Health,"Brisbane , Sydney , Canberra (ACT) , Adelaide , Perth , Darwin , Hobart , Melbourne",122.0,,1913-12-01 00:00:00,1914-02-28 00:00:00,https://knowledge.aidr.org.au/resources/health-national-heatwave-1913/
Health - Heatwave,Health,"Brisbane , Sydney , Canberra (ACT) , Adelaide , Perth , Darwin , Hobart , Melbourne",143.0,,1911-12-01 00:00:00,1912-02-28 00:00:00,https://knowledge.aidr.org.au/resources/health-national-heatwave-1911/
Health - Heatwaves,Health,"Brisbane , Sydney , Canberra (ACT) , Adelaide , Perth , Darwin , Hobart , Melbourne",109.0,,1909-12-09 00:00:00,1910-02-10 00:00:00,https://knowledge.aidr.org.au/resources/health-national-heatwave-1909/
Health - Melbourne heatwave,Health,Melbourne,246.0,,1907-12-01 00:00:00,1908-02-28 00:00:00,https://knowledge.aidr.org.au/resources/health-heatwave-melbourne-1907-08/
Flood - Bolwarra,Flood,Sydney,26.0,,28/07/1857,29/07/1857,https://knowledge.aidr.org.au/resources/flood-bolwarra-new-south-wales-1857/
Flood - Gundagai,Flood,Canberra (NSW),89.0,,25/06/1852,25/06/1852,https://knowledge.aidr.org.au/resources/flood-gundagai-new-south-wales/
Flood - Mid-North South Australia,Flood,"Adelaide , Leigh Creek , Murray Bridge (SA)",5.0,,14/04/1889,19/04/1889,https://knowledge.aidr.org.au/resources/flood-mid-north-south-australia/
Flood - Araluen and Braidwood,Flood,Wollongong,24.0,,08/02/1860,13/02/1860,https://knowledge.aidr.org.au/resources/flood-araluen-and-braidwood/
Flood -  Widespread New South Wales (including Queensland and South Australia),Flood,"Bourke , Broken Hill , Danggali (NSW) , Swan Hill (NSW)",9.0,,01/04/1890,01/10/1890,https://knowledge.aidr.org.au/resources/flood-widespread-new-south-wales-1890/
"Flood - Black February. Brisbane, Ipswich and Maryborough",Flood,"Brisbane , Bundaberg",35.0,,01/02/1893,15/02/1893,https://knowledge.aidr.org.au/resources/black-february-flood-1893/
Flood - Maitland,Flood,Maitland,8.0,,9/3/1893,,https://knowledge.aidr.org.au/resources/flood-maitland-new-south-wales/
Flood - Katherine and Daly River,Flood,"Katherine , Victoria River",6.0,,01/02/1879,01/02/1879,https://knowledge.aidr.org.au/resources/flood-katherine-and-daly-river-northern-territory/
Flood - Clermont and Peak Downs,Flood,Clermont,15.0,,01/02/1870,01/02/1870,https://knowledge.aidr.org.au/resources/flood-clermont-and-peak-downs-queensland-1870/
Flood - Widespread New South Wales and Queensland,Flood,New South Wales,10.0,,14/2/1863,28/2/1863,https://knowledge.aidr.org.au/resources/flood-widespread-new-south-wales-and-queensland-1863/
Flood - Nowra,Flood,Wollongong,16.0,,01/01/1860,01/01/1860,https://knowledge.aidr.org.au/resources/flood-nowra-new-south-wales-1860/
South-east Queensland Heavy rainfall and floods,Flood,Queensland,1.0,896000000.0,2020-02-08 00:00:00,2020-02-14 00:00:00,https://knowledge.aidr.org.au/resources/heavy-rainfall-and-floods-queensland-february-2020/
Flood - Hobart flash flooding,Flood,Hobart,,137000000.0,2018-05-10 00:00:00,2018-05-10 00:00:00,https://knowledge.aidr.org.au/resources/2018-flood-tas-hobart-flash-flooding/
Flood - south-eastern Australia,Flood,National,1.0,,2016-09-01 00:00:00,2016-09-30 00:00:00,https://knowledge.aidr.org.au/resources/flood-south-eastern-australia-2016/
"Flood - Tasmania, 2016",Flood,"Mersey, Forth, Meander, North Esk, South Esk, Macquarie, Ouse, Huon and Derwent Rivers",3.0,180000000.0,2016-06-01 00:00:00,2016-07-31 00:00:00,https://knowledge.aidr.org.au/resources/flood-tasmania-june-july-2016/
Flood - Victoria,Flood,Cooma (VIC),,108212000.0,2012-02-26 00:00:00,2012-03-15 00:00:00,https://knowledge.aidr.org.au/resources/flood-victoria-2012/
Flood - New South Wales,Flood,"Bourke , Broken Hill , Canberra (NSW) , Cooma (NSW) , Dubbo , Narrabi , Swan Hill (NSW) , Sydney , Tamworth , Tibooburra (NSW) , Wollongong",3.0,108212000.0,2012-01-24 00:00:00,2012-03-13 00:00:00,https://knowledge.aidr.org.au/resources/flood-new-south-wales-2012/
Flood - Queensland,Flood,"Cairns , Cape York , Charters Towers , Cooktown , Gunpowder , Mackay , Mitchell River , Mornington Island , Normanton , Torres Strait , Townsville , Weipa",1.0,124688000.0,2012-01-24 00:00:00,2012-03-13 00:00:00,https://knowledge.aidr.org.au/resources/flood-queensland-2012/
Flood - Northern NSW - Moree,Flood,"Moree (NSW) , Narrabi , Tamworth",1.0,,2011-11-27 00:00:00,2011-12-04 00:00:00,https://knowledge.aidr.org.au/resources/flood-moree-new-south-wales-2011/
Flood - Victoria ,Flood,"Mount Gambier (VIC) , Murray Bridge (VIC) , Swan Hill (VIC) , Melbourne",,122465000.0,2011-01-12 00:00:00,2011-01-18 00:00:00,https://knowledge.aidr.org.au/resources/flood-victoria-2011/
"Flood - Warum, Kimberly",Flood,Kimberly,,17500000.0,2011-03-10 00:00:00,2011-03-14 00:00:00,https://knowledge.aidr.org.au/resources/flood-warmun-kimberley-2011/
Flood - Queensland,Flood,Brisbane,33.0,2380000000.0,2010-11-30 00:00:00,2011-01-17 00:00:00,https://knowledge.aidr.org.au/resources/flood-queensland-2010-2011/
Flood - Gascoyne river,Flood,Gascoyne River,,90000000.0,2010-12-16 00:00:00,2010-12-18 00:00:00,https://knowledge.aidr.org.au/resources/flood-gascoyne-river-western-australia/
Flood - Queensland ,Flood,"Blackall , Brisbane , Charleville , Clermont , Eromanga , Moree (QLD) , Roma , Taroom , Windorah",,46700000.0,2010-02-28 00:00:00,2010-03-05 00:00:00,https://knowledge.aidr.org.au/resources/flood-queensland-2010/
Flood - Northern New South Wales,Flood,Lismore (NSW),1.0,48000000.0,2009-05-20 00:00:00,2009-05-23 00:00:00,https://knowledge.aidr.org.au/resources/flood-northern-new-south-wales-2009/
Flood - Mid and North Coast ,Flood,Tamworth,,37000000.0,2009-03-31 00:00:00,2009-04-02 00:00:00,https://knowledge.aidr.org.au/resources/flood-mid-and-north-coast-new-south-wales/
Flood - North Queensland,Flood,"Cairns , Townsville",1.0,19000000.0,2009-01-31 00:00:00,2009-02-07 00:00:00,https://knowledge.aidr.org.au/resources/flood-north-queensland-february-2009/
Flood - North Queensland ,Flood,"Cairns , Townsville",,19000000.0,2009-01-12 00:00:00,2009-02-14 00:00:00,https://knowledge.aidr.org.au/resources/flood-north-queensland-january-2009/
Flood - Mackay,Flood,"Blackall , Bundaberg , Cairns , Cape York , Charters Towers , Clermont , Cooktown , Croydon , Longreach , Mackay , Mitchell River , Normanton , Rockhampton , Taroom , Townsville , Weipa",,410000000.0,2008-02-14 00:00:00,2008-02-17 00:00:00,https://knowledge.aidr.org.au/resources/flood-mackay-queensland/
Flood - North Coast New South Wales ,Flood,Lismore (NSW),,15000000.0,2008-01-04 00:00:00,2008-01-11 00:00:00,https://knowledge.aidr.org.au/resources/flood-north-coast-new-south-wales-2008/
Flood - Queensland,Flood,"Ayr , Birdsville , Blackall , Boulia , Cairns , Cape York , Charleville , Charters Towers , Clermont , Cooktown , Coringa Islets , Croydon , Cunnamulla (QLD) , Eromanga , Longreach , Mackay , Mitchell River , Moree (QLD) , Mornington Island , Mount Isa , Normanton , Osprey Reef , Richmond , Rockhampton , Roma , Taroom , Tibooburra (QLD) , Townsville , Weipa , Windorah , Winton",,70000000.0,2008-01-01 00:00:00,2008-01-31 00:00:00,https://knowledge.aidr.org.au/resources/flood-queensland-2008/
Flood - South East Queensland ,Flood,"Brisbane , Lismore (QLD)",,15000000.0,2007-12-27 00:00:00,2008-01-07 00:00:00,https://knowledge.aidr.org.au/resources/flood-south-east-queensland-2007/
Flood - Gippsland,Flood,"Cooma (VIC) , Wilsons Promontory , Melbourne",1.0,15000000.0,2007-06-27 00:00:00,2007-07-02 00:00:00,https://knowledge.aidr.org.au/resources/flood-gippsland-victoria-2007/
Flood - Gawler river,flood,Gawler River,,40000000.0,2005-11-08 00:00:00,,https://knowledge.aidr.org.au/resources/flood-gawler-river-south-australia/
Flood - North East New South Wales,Flood,Lismore (NSW),1.0,25000000.0,2005-06-29 00:00:00,2005-06-30 00:00:00,https://knowledge.aidr.org.au/resources/flood-north-east-new-south-wales-2005/
Flood - South East Queensland,Flood,Lismore (QLD),2.0,53900000.0,2005-06-29 00:00:00,2005-06-30 00:00:00,https://knowledge.aidr.org.au/resources/flood-south-east-queensland-2005/
"Flood - Brisbane, Sunshine Coast, and Gold Coast",Flood,Brisbane,2.0,37000000.0,2001-03-09 00:00:00,2001-03-11 00:00:00,https://knowledge.aidr.org.au/resources/flood-south-east-queensland-coast-2001/
"Flood - Grafton, Kempsey and North Coast New South Wales ",Flood,"Lismore (NSW) , Tamworth",,25000000.0,2001-03-05 00:00:00,2001-03-12 00:00:00,https://knowledge.aidr.org.au/resources/flood-graft-kempsey-and-north-coast-new-south-wales/
Flood - North and Central Queensland,Flood,"Cairns , Townsville",,12000000.0,2000-02-05 00:00:00,2000-02-28 00:00:00,https://knowledge.aidr.org.au/resources/flood-north-and-central-queensland/
Flood - Melbourne and Central Victoria,Flood,Melbourne,,10000000.0,1999-12-26 00:00:00,1999-12-28 00:00:00,https://knowledge.aidr.org.au/resources/flood-melbourne-and-central-victoria-1999/
Flood - Switzerland Gorge Flash Flood,Flood,Outside Territorial Waters,21.0,,1999-07-27 00:00:00,1999-07-28 00:00:00,https://knowledge.aidr.org.au/resources/flood-flash-flood-switzerland/
Flood - Sydney and Wollongong,Flood,"Sydney , Wollongong",1.0,40000000.0,1998-08-17 00:00:00,1998-08-19 00:00:00,https://knowledge.aidr.org.au/resources/flood-sydney-and-wollongong-1998/
Flood - Katherine Floods,Flood,Katherine,3.0,70000000.0,1998-01-25 00:00:00,1998-02-02 00:00:00,https://knowledge.aidr.org.au/resources/flood-katherine-northern-territory/
Flood - Townsville,Flood,"Cairns , Townsville",1.0,71000000.0,1998-01-10 00:00:00,1998-01-12 00:00:00,https://knowledge.aidr.org.au/resources/flood-townsville-1998/
Flood - Southern Queensland and Northern New South Wales,Flood,"Brisbane , Lismore (NSW)",5.0,31000000.0,1996-05-01 00:00:00,1996-05-09 00:00:00,https://knowledge.aidr.org.au/resources/flood-southern-queensland-and-northern-new-south-wales-1996/
Flood - North-Eastern Victoria,Flood,Melbourne,,12000000.0,1993-10-03 00:00:00,1993-10-04 00:00:00,https://knowledge.aidr.org.au/resources/flood-north-eastern-victoria-1993/
"Flood - Gnarr Creek, Ballarat",Flood,Melbourne,,24000000.0,1991-12-16 00:00:00,1991-12-18 00:00:00,https://knowledge.aidr.org.au/resources/flood-gnarr-creek-ballarat/
Flood - Boonah,Flood,Brisbane,3.0,,1991-02-07 00:00:00,1991-02-11 00:00:00,https://knowledge.aidr.org.au/resources/flood-boonah-queensland/
Flood - Gulf Country ,Flood,"Cairns , Rockhampton",6.0,32000000.0,1990-12-23 00:00:00,1991-01-07 00:00:00,https://knowledge.aidr.org.au/resources/flood-gulf-country-northern-territory-and-queensland/
"Flood - Queensland - Charleville, New South Wales - Nyngan, Victoria - Gippsland",Flood,"Brisbane , Lismore (NSW) , Melbourne",6.0,30000000.0,1990-04-18 00:00:00,1990-04-30 00:00:00,https://knowledge.aidr.org.au/resources/flood-charleville-queensland-nyngan-new-south-wales-gippsland-victoria-1990/
"Flood - Gympie, Southern Queensland, and Eastern New South Wales",Flood,"Brisbane , Lismore (QLD)",3.0,,1989-04-25 00:00:00,1989-04-30 00:00:00,https://knowledge.aidr.org.au/resources/flood-gympie-southern-queensland-and-new-south-wales/
Flood - Lismore,Flood,Lismore (NSW),,25000000.0,1988-04-07 00:00:00,1988-04-12 00:00:00,https://knowledge.aidr.org.au/resources/flood-lismore-new-south-wales-1988/
Flood - Alice Springs and Central NT,Flood,Alice Springs,3.0,10000000.0,1988-03-31 00:00:00,1988-04-02 00:00:00,https://knowledge.aidr.org.au/resources/flood-alice-springs-and-central-northern-territory/
Flood - Sydney,Flood,Sydney,6.0,35000000.0,1986-08-04 00:00:00,1986-08-06 00:00:00,https://knowledge.aidr.org.au/resources/flood-sydney-1986/
Flood - Sydney,Flood,Sydney,,80000000.0,1984-11-08 00:00:00,1984-11-08 00:00:00,https://knowledge.aidr.org.au/resources/flood-sydney-1984/
Flood - Dalby,Flood,Brisbane,1.0,20000000.0,1981-02-01 00:00:00,1981-02-01 00:00:00,https://knowledge.aidr.org.au/resources/flood-dalby-queensland/
"Flood - Sydney, Newcastle and Wollongong",Flood,Sydney,6.0,15000000.0,1978-02-10 00:00:00,1978-02-10 00:00:00,https://knowledge.aidr.org.au/resources/flood-sydney-newcastle-and-wollongong-1978/
Flood - Sydney,Flood,Sydney,,15000000.0,1975-03-09 00:00:00,1975-03-09 00:00:00,https://knowledge.aidr.org.au/resources/flood-sydney-1975/
Flood - Western Sydney,Flood,Sydney,1.0,20000000.0,1974-04-24 00:00:00,1974-04-24 00:00:00,https://knowledge.aidr.org.au/resources/flood-western-sydney-1974/
Flood - Brisbane River,Flood,Brisbane,13.0,68000000.0,1974-01-25 00:00:00,1974-01-29 00:00:00,https://knowledge.aidr.org.au/resources/flood-brisbane-river-queensland-1974/
Flood - Eastern Australia,Flood,"Brisbane , Dubbo , Lismore (NSW) , Sydney , Tamworth , Wollongong , Coober Pedy , Oodnadatta , Launceston , Melbourne",14.0,68000000.0,1974-01-25 00:00:00,1974-04-01 00:00:00,https://knowledge.aidr.org.au/resources/flood-eastern-australia/
"Flood - Queensland, Northern Territory and Western Australia",Flood,"Birdsville , Cooktown , Longreach , Mornington Island , Mount Isa",,30000000.0,1973-03-02 00:00:00,1973-03-30 00:00:00,https://knowledge.aidr.org.au/resources/flood-queensland-northern-territory-and-western-australia-1973/
Flood - Woden Valley,Flood,Canberra (ACT),7.0,,1971-01-26 00:00:00,1971-01-26 00:00:00,https://knowledge.aidr.org.au/resources/flood-woden-valley-act-1971/
Flood - Central Coast,Flood,"Ayr , Charters Towers , Mackay , Townsville",3.0,,1958-02-16 00:00:00,1958-02-24 00:00:00,https://knowledge.aidr.org.au/resources/flood-central-coast-queensland/
Flood - Hunter Valley ,Flood,Sydney,24.0,,1955-02-22 00:00:00,1955-02-28 00:00:00,https://knowledge.aidr.org.au/resources/flood-hunter-valley-new-south-wales/
Flood - Northern New South Wales ,Flood,Lismore (NSW),22.0,,1954-02-20 00:00:00,1954-02-24 00:00:00,https://knowledge.aidr.org.au/resources/flood-northern-new-south-wales-1954/
Flood - Eastern New South Wales,Flood,Sydney,5.0,,1950-06-01 00:00:00,1950-06-30 00:00:00,https://knowledge.aidr.org.au/resources/flood-eastern-new-south-wales-1950/
"Flood - Sydney, North Coast, and North Western Districts",Flood,Sydney,10.0,,1950-01-16 00:00:00,1950-01-19 00:00:00,https://knowledge.aidr.org.au/resources/flood-sydney-north-coast-and-north-western-districts-1950/
Flood - Burdekin River,Flood,"Ayr , Townsville",3.0,,1940-04-07 00:00:00,1940-04-09 00:00:00,https://knowledge.aidr.org.au/resources/flood-burdekin-river-queensland/
"Flood - Melbourne, Yarra Valley",Flood,"Cooma (VIC) , Wilsons Promontory , Melbourne",36.0,,1934-11-30 00:00:00,1934-12-02 00:00:00,https://knowledge.aidr.org.au/resources/flood-melbourne-and-victoria-1934/
Flood - Widespread Queensland,Flood,"Blackall , Cairns , Charleville , Charters Towers , Longreach , Mackay , Mount Isa , Townsville , Winton",6.0,,1930-01-20 00:00:00,1930-01-30 00:00:00,https://knowledge.aidr.org.au/resources/flood-widespread-queensland-1930/
Flood - Tasmania,Flood,"Hobart , Launceston",22.0,,1929-04-03 00:00:00,1929-04-06 00:00:00,https://knowledge.aidr.org.au/resources/flood-tasmania-1929/
Flood - Widespread Coastal,Flood,"Brisbane , Cairns , Lismore (QLD) , Townsville",3.0,,1929-02-20 00:00:00,1929-02-28 00:00:00,https://knowledge.aidr.org.au/resources/flood-widespread-coastal-1929/
Flood - Queensland South Coast,Flood,"Brisbane , Dubbo",9.0,,1928-04-18 00:00:00,1928-04-24 00:00:00,https://knowledge.aidr.org.au/resources/flood-queensland-south-coast-1928/
Flood - South East Queensland,Flood,Brisbane,5.0,,1928-02-14 00:00:00,1928-02-22 00:00:00,https://knowledge.aidr.org.au/resources/flood-south-east-queensland-1928/
"Flood - Toowoomba, Miles, Cairns, and Townsville",Flood,"Brisbane , Cairns , Roma , Townsville",47.0,,1927-02-10 00:00:00,1927-02-17 00:00:00,https://knowledge.aidr.org.au/resources/flood-toowoomba-miles-cairns-and-townsville-queensland-1927/
"Flood - Toowoomba, Miles, Cairns, and Townsville",Flood,Cairns,47.0,,1927-02-09 00:00:00,1927-02-16 00:00:00,https://knowledge.aidr.org.au/resources/flood-toowoomba-miles-cairns-and-townsville-queensland-1927/
Flood - Hughenden,Flood,Hughenden,5.0,,1917-01-01 00:00:00,1917-01-10 00:00:00,https://knowledge.aidr.org.au/resources/flood-hughenden-queensland/
Flood - Clermont and Peak Downs,Flood,Clermont,61.0,,1916-12-27 00:00:00,1916-12-27 00:00:00,https://knowledge.aidr.org.au/resources/flood-clermont-and-peak-downs-queensland-1916/
Bolwara Flood,Flood,Bolwarra,26.0,,15/7/1857,31/7/1857,https://knowledge.aidr.org.au/resources/flood-bolwarra-new-south-wales-1857/
Flood - Melbourne and Victoria ,Flood,Melbourne,36.0,,1934-11-29 00:00:00,1934-12-01 00:00:00,https://knowledge.aidr.org.au/resources/flood-melbourne-and-victoria-1934/
Flood - Geelong,Flood,Geelong,,11700000.0,2015-01-27 00:00:00,2015-01-27 00:00:00,https://knowledge.aidr.org.au/resources/flood-geelong-victoria-2016/
Flood - Nowra Flood,Flood,Nowra,16.0,,11/02/1860,25/2/1860,https://knowledge.aidr.org.au/resources/flood-nowra-new-south-wales-1860/
Industrial - Longford Gas explision,Industrial,"Bass Strait , Mount Gambier (VIC) , Wilsons Promontory , Melbourne",2.0,,1998-09-25 00:00:00,1998-10-14 00:00:00,https://knowledge.aidr.org.au/resources/industrial-longford-gas-explosion/
Industrial - Bulli Mine,Industrial,Wollongong,81.0,,23/03/1887,23/03/1887,https://knowledge.aidr.org.au/resources/industrial-bulli-mine-new-south-wales-1887/
Industrial - Dudley Mine,Industrial,Sydney,15.0,,21/03/1898,21/03/1898,https://knowledge.aidr.org.au/resources/industrial-dudley-mine-new-south-wales/
Industrial - Broken Hill Mine Collapse,Industrial,Broken Hill,9.0,,18/07/1895,18/07/1895,https://knowledge.aidr.org.au/resources/industrial-broken-hill-mine-collapse/
Industrial - Creswick Gold Mine,Industrial,Melbourne,22.0,,12/12/1882,12/12/1882,https://knowledge.aidr.org.au/resources/industrial-creswick-gold-mine-victoria/
"Swanston Street wall collapse, 2013",Industrial,Melbourne,3.0,,2013-03-29 00:00:00,,https://knowledge.aidr.org.au/resources/industrial-wall-collapse-swanston-street/
"Industrial – Pike River Mine, New Zealand",Industrial,Outside Territorial Waters,29.0,,2010-11-19 00:00:00,2010-11-26 00:00:00,https://knowledge.aidr.org.au/resources/industrial-pike-river-mine-explosion-new-zealand-2010/
Industrial - Savage River Mine Fire,Industrial,Savage River,,10000000.0,2006-06-21 00:00:00,,https://knowledge.aidr.org.au/resources/industrial-savage-river-mine-fire-tasmania/
Industrial - Gladstone Factory Explosion,Industrial,Whyalla,3.0,,2006-05-09 00:00:00,2006-05-09 00:00:00,https://knowledge.aidr.org.au/resources/industrial-gladstone-factory-explosion-south-australia/
Industrial - Beaconsfield Mine,Industrial,Launceston,1.0,,2006-04-25 00:00:00,2006-05-09 00:00:00,https://knowledge.aidr.org.au/resources/industrial-beaconsfield-mine-tasmania/
Industrial - Bellevue Hazardous Waste Fire,Industrial,Perth,,5600000.0,2001-02-15 00:00:00,2001-02-17 00:00:00,https://knowledge.aidr.org.au/resources/industrial-bellevue-hazardous-waste-fire/
Industrial -Kalgoorlie Mine Collapse,Industrial,Kalgoorlie,3.0,,2000-06-26 00:00:00,2000-06-26 00:00:00,https://knowledge.aidr.org.au/resources/industrial-kalgoorlie-mine-collapse-western-australia/
Industrial - Hunter Valley Silo Explosion,Industrial,Sydney,3.0,,1999-12-06 00:00:00,1999-12-06 00:00:00,https://knowledge.aidr.org.au/resources/industrial-hunter-valley-silo-explosion-new-south-wales/
Industrial - North Parkes Mine,Industrial,Dubbo,4.0,,1999-11-24 00:00:00,1999-11-24 00:00:00,https://knowledge.aidr.org.au/resources/industrial-north-parkes-mine-airblast-new-south-wales/
Industrial - Moura Mine,Industrial,Taroom,11.0,,1994-08-07 00:00:00,1994-08-07 00:00:00,https://knowledge.aidr.org.au/resources/industrial-moura-mine-explosion-queensland-1994/
Industrial - South Bulli Coal Mine,Industrial,Wollongong,3.0,,1991-07-24 00:00:00,1991-07-24 00:00:00,https://knowledge.aidr.org.au/resources/industrial-south-bulli-coal-mine-explosion-new-south-wales/
Industrial - Coode Island,Industrial,Melbourne,2.0,21000000.0,1991-07-21 00:00:00,,https://knowledge.aidr.org.au/resources/industrial-coode-island-victoria/
Industrial - Western Main,Industrial,Hillston,3.0,,1991-05-29 00:00:00,1991-05-29 00:00:00,https://knowledge.aidr.org.au/umbraco/#/content/content/edit/4282
